,index,Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other
0,9320,"USER wkwkwkw akhirnya antek Amerika ini pasang badan juga, krn 51% saham Freeport dikuasai Indonesia !'",0,0,0,0,0,0,0,0,0
1,3964,Terlalu suuzon nih rezim URL,1,0,1,0,0,0,0,0,1
2,8551,"Mau tanya sama guntur romli, Bener gak neh :;",0,0,0,0,0,0,0,0,0
3,12366,Genosida Muslim Rohingya oleh Teroris Budha Myanmar! URL +80 desa Muslim Rohingya tlh dibakar Teroris Budha!'',1,0,0,1,1,0,0,0,0
4,6271,USER USER SubhanAllah sekolah di sekolah kristen namun iman dan kepercayaan terhadap Alloh dan Agama islam semakin besar.',0,0,0,0,0,0,0,0,0
5,6040,USER USER USER Cebong Lo benerin CD aja Kon bisa\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',1,1,1,0,0,0,0,0,1
6,2960,"USER Negeri Perak hari ini menyatakan sokongan penuh dan tidak berbelah bahagi terhadap kepimpinan Perdana Menteri, Datoâ?? Seri USER #HebatkanNegaraku #BersamaBN - Datuk Seri R.S USER Presiden USER #DahulukanRakyat USER",0,0,0,0,0,0,0,0,0
7,10664,komunis kau BaNGSaT...! USER keluar kalian segera.. kapan pun di mana pun URL,1,1,0,1,0,1,0,0,0
8,5698,"USER USER USER cabe2an bisa nya hanya bbm.n facrbook.n!! Masalah politik mana tau doi, tau nya berita2 sampah pencitraan",1,1,1,0,0,0,0,0,1
9,8546,USER USER pink titit itu gmana? aku kira titit warnanya coklat benyek',0,1,0,0,0,0,0,0,0
10,1614,Aset indonesia katanya di ambil orang asing freeport di ambil amrik,1,0,0,1,0,0,0,0,1
11,319,"Cuba la tgk anime ni, Karakai Jozu No Takagi-san, kalau rasa nak feeling feeling cinta monyet zaman sekolah..memang throwback habes..9/10 URL",0,0,0,0,0,0,0,0,0
12,6273,"RT USER: mau kontol,kirimin dong'",0,1,0,0,0,0,0,0,0
13,11099,laptop gue udah dari 2 bulan lalu ga selesai selesai di service. katanya cuma 2 minggu setan',0,1,0,0,0,0,0,0,0
14,13164,USER jangan asal ngomong ndasmu. congor lu yg sekate2 anjyng',1,1,1,0,0,0,1,0,0
15,10515,Nurul Arifin Bertekad Buat Kota Bandung Seperti Jakarta USER USER #BandungGeulis #BandungHarmonis #Calonwalikotabandung #Calonwalikotabandung2018,0,0,0,0,0,0,0,0,0
16,6901,USER Cebong mana ngerti',1,1,0,1,0,0,0,0,1
17,3361,RT USER: Ngentot Dengan Sekertaris Yang Sexy\nURL #ceritadewasa #memekmerah #MEMEKBASAH #memekjanda\xe2\x80\xa6',0,1,0,0,0,0,0,0,0
18,8862,RT USER: Prabowo lolos dari jerat hukum sementara seluruh anggota Tim Mawar dijatuhi hukuman pidana penjara...DKP? USER,1,0,1,0,0,0,0,0,1
19,6164,Bubarkan HTI Presiden Jokowi Dinilai Diktator URL,1,0,0,1,1,0,0,0,0
20,1822,USER USER USER Untungnya greja katolik tidak denial terhadap kobobrokan masa tsb dan mereformasi gereja \xf0\x9f\x91\x8d',0,0,0,0,0,0,0,0,0
21,6207,"USER ""Aduh.. mau eek""'",0,0,0,0,0,0,0,0,0
22,5782,"RT USER: USER &lt; Terus ya, NSFW bukan cuma genjat-genjot doang. Tapi yang namanya NSFW udah pasti gak aman buat anak di bawah umur. T\xe2\x80\xa6'",0,0,0,0,0,0,0,0,0
23,12168,USER dm kaya minta verif kunyuk bukan hai hai aja',0,1,0,0,0,0,0,0,0
24,4657,"USER Gua jg njir tp ntar gua mikir lg, pengen rasain eue nya huehue apa kah aku kawin sj? hm'",0,1,0,0,0,0,0,0,0
25,5184,sebenarnya presiden itu mau diganti dengan apa/siapa sih ?,0,0,0,0,0,0,0,0,0
26,12414,USER USER Komunis apa sosialis?',0,0,0,0,0,0,0,0,0
27,11790,USER USER Wkwkwkkw geblek',0,1,0,0,0,0,0,0,0
28,11976,USER USER KIRAIN BUDEK',0,1,0,0,0,0,0,0,0
29,2239,USER Cuma pinter bacot ya lawan nya bu Sri..? \xf0\x9f\x98\x81',1,1,1,0,0,0,0,0,1
30,8796,Ini gue budek beneran gara gara kebanyakan pake hetset apa gara gara flu',0,0,0,0,0,0,0,0,0
31,7822,"USER USER Cebong dgn standar kedunguannya tdk diragukan lagi, sudah diakui dan terbukti, koq malah bilangin org bego, hadeuh....'",1,1,1,0,0,0,0,0,1
32,4056,Pengen ngrasain ngentod memek ABG...',0,1,0,0,0,0,0,0,0
33,8163,Pak Jokowi 2 periode ð???ð???,0,0,0,0,0,0,0,0,0
34,10709,"dukungan kepada Polri dlm melawan berita hoax, issu sara dan ujaran kebencian serta mendukung Polri utk mensukseskan Pilkada Serentak 2018 Aman dan damai",0,0,0,0,0,0,0,0,0
35,5524,"Sadarilah maksud semua gagasan dari pemimpin kita, ketahuilah pemimpin kita tidak tidur dan tidak bekerja tanpa tujuan dan hasil. ; ; #tol #infrastruktur #presiden #pemimpin #indonesia #nkri #masyarakat #leader #jokowi #satukanindonesia",0,0,0,0,0,0,0,0,0
36,8945,RT USER: Kesayangan..asal ketemu jepit kontol URL,0,1,0,0,0,0,0,0,0
37,1914,LUPA MEMBACA BISMILLAH DIAWAL MAKAN #Islam #IslamTerkini #Dakwah #PosterDakwah #Kajian #Tausiyah #Ceramah #MajelisIlmu #Sunnah #Hijrah #Aswaja #SavePalestina #SaveRohingya #SaveGhouta,0,0,0,0,0,0,0,0,0
38,4275,Ternyata bener indosat itu maling pulsa. Brengsek bener. Sial. Pulsa gua 200rbu. Peepanjang paket 149rb. Masa ga cukup tp pulsa gua ilang 100rb lebih. Brngsekkkk. Bangkrut kek luh !! \nUSER URL,1,1,0,1,0,0,0,0,1
39,11310,"USER Tkw/ Tkl/ tki belom disebut mbak, ini gak cm ke negara tujuan kayak arab, misal keluarga majikan jalan jalan ke amerika, kita bs di ajak mbak heheehe \xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81'",0,0,0,0,0,0,0,0,0
40,9670,USER Bogel kunyuk hehe',0,1,0,0,0,0,0,0,0
41,1826,"USER USER USER asal gk bilang yg mana gpp gituh? kalo dia ngomong semua umat beragama itu bodoh gpp juga? yg penting dia gk bilang umat islam gituh? logika goblok,kalo bilang kitab suci malah lebih parah artinya dia menghina semua agama k",1,1,1,0,0,0,0,0,1
42,1503,RT USER USER Baik baik jokowi dia anti Islam,1,0,1,0,1,0,0,0,0
43,1369,Presiden Minta Proyek Strategis Nasional 2017 Segera Dirampungkan -,0,0,0,0,0,0,0,0,0
44,4621,"USER Klo tiap ganti presiden cari simpati dgn cara nambah cuti, naikkan gaji dan THR PNS mau jadi apa negara kita 5 tahun ke depan. Katanya krisis? #jokowi makin kelihatan lucunya'",1,0,1,0,0,0,0,0,1
45,68,Lengserkan Jokowi Bangsat!!,1,1,1,0,0,0,0,0,1
46,3909,"Selamat Hari Kartini; ""Majulah Perempuan Indonesia"" #HariKartini #harikartini2018",0,0,0,0,0,0,0,0,0
47,13001,"Supaya Indonesia bs lolos ke Piala Dunia, contohlah Perancis, ambilah pemain2 asing yg top, tdk perlu harus keturunan Indonesia.'",0,0,0,0,0,0,0,0,0
48,3302,FRANKY MAU PRESIDEN BARU BAGAIMANA YG LAIN?.....,0,0,0,0,0,0,0,0,0
